Service	                Port	    Protocol	        Description
HTTP	                80	        TCP	                Web traffic (unsecured)
HTTPS	                443	        TCP	                Secure web traffic
SSH	                    22	        TCP	                Secure Shell
FTP (control)	        21	        TCP	                File Transfer Protocol
FTP (data)	            20	        TCP	                FTP data transfer
Telnet	                23	        TCP	                Remote terminal (insecure)
SMTP	                25	        TCP	                Simple Mail Transfer Protocol
DNS	                    53	        UDP/TCP	            Domain Name System
DHCP Server	            67	        UDP	                DHCP server to client
DHCP Client	            68	        UDP	                DHCP client to server
TFTP	                69	        UDP	                Trivial File Transfer Protocol
POP3	                110	        TCP	                Post Office Protocol
IMAP	                143	        TCP	                Internet Message Access Protocol
SNMP	                161	        UDP	                Simple Network Management Protocol
SNMP Trap	            162	        UDP	                SNMP alerts
RDP	                    3389	    TCP	                Remote Desktop Protocol
MySQL	                3306	    TCP	                MySQL database
PostgreSQL	            5432	    TCP	                PostgreSQL database
NTP	                    123	        UDP	                Network Time Protocol
LDAP	                389	        TCP/UDP	            Lightweight Directory Access
Kerberos	            88	        TCP/UDP	            Authentication
Syslog	                514	        UDP	                System logging
OpenVPN	                1194	    UDP/TCP	            VPN connections
NFSv4                   2049        TCP                 Network File Sharing
